id,address,city,latitude,longitude,site_score,state_name,county_name,state_and_county,tract,block_group,tot_population_cen_2010,hispanic_cen_2010,nh_blk_alone_cen_2010,nh_aian_alone_cen_2010,nh_asian_alone_cen_2010,nh_nhopi_alone_cen_2010,nh_sor_alone_cen_2010,college_acs_09_13,no_health_ins_acs_09_13,med_hhd_inc_bg_acs_09_13,aggregate_hh_inc_acs_09_13,tot_vacant_units_cen_2010,renter_occp_hu_cen_2010,owner_occp_hu_cen_2010,no_plumb_acs_09_13,med_house_value_bg_acs_09_13,pct_hispanic_cen_2010,pct_nh_blk_alone_cen_2010,pct_nh_aian_alone_cen_2010,pct_nh_asian_alone_cen_2010,pct_nh_nhopi_alone_cen_2010,pct_nh_sor_alone_cen_2010,pct_not_hs_grad_acs_09_13,pct_no_health_ins_acs_09_13,pct_vacant_units_cen_2010,pct_renter_occp_hu_cen_2010,pct_owner_occp_hu_cen_2010,pct_no_plumb_acs_09_13,pct_poc
679,"OFF HWY 43, MCINTOSH, AL 36553",McIntosh,31.2820497,-88.0318255,53.42,Alabama,Washington County,"Alabama, Washington County",44200,1,1101,21,267,561,0,5,0,57,258,46339,17576600,120,63,350,48,107200,1.91,24.25,50.95,0,0.45,0,18.04,22.89,22.51,15.25,84.75,8.74,77.56
901,"OLIN RD, MCINTOSH, AL 36553",McIntosh,31.2645846,-88.015491,39.71,Alabama,Washington County,"Alabama, Washington County",44200,2,1029,12,890,14,1,0,0,51,126,36667,11164200,62,40,316,0,101500,1.17,86.49,1.36,0.1,0,0,16.23,16.84,14.83,11.24,88.76,0,89.12
225,"ADAK IS, ADAK, AK 99546",Adak,51.8411304,-176.631103,51.37,Alaska,Aleutians West Census Area,"Alaska, Aleutians West Census Area",100,1,1185,60,31,581,178,7,0,94,444,46250,15172700,538,121,164,467,85400,5.06,2.62,49.03,15.02,0.59,0,13.69,37.76,65.37,42.46,57.54,47.32,72.32
400,"Postal Address is unavailable for the Site, ANCHORAGE, AK 99505",Anchorage,61.3008086,-149.7106353,50,Alaska,Anchorage Municipality,"Alaska, Anchorage Municipality",300,1,8000,1060,929,96,140,59,19,623,95,54919,122974000,90,1737,18,11,,13.25,11.61,1.2,1.75,0.74,0.24,0.63,1.13,4.88,98.97,1.03,0.56,28.79
389,"N BOUNDRY OF CITY LIMITS, ANCHORAGE, AK 99506",Greater Anchorage Borough,61.2744031,-149.7871533,45.91,Alaska,Anchorage Municipality,"Alaska, Anchorage Municipality",400,1,5937,663,531,40,128,24,7,612,51,61528,94070200,7,1438,10,0,,11.17,8.94,0.67,2.16,0.4,0.12,1.35,0.88,0.48,99.31,0.69,0,23.46
336,"HIGHWAY 2 - 16 MI SE OF FAIRBANKS, FAIRBANKS, AK 99702",Fairbanks North Star Borough,64.6770035,-147.038251,48.14,Alaska,Fairbanks North Star Borough,"Alaska, Fairbanks North Star Borough",1800,2,2743,210,195,23,65,12,1,334,41,71650,49607800,215,646,31,8,159800,7.66,7.11,0.84,2.37,0.44,0.04,0,1.55,24.1,95.42,4.58,0.74,18.46
411,"RICHARDSON HWY, SE OF CY, FORT WAINWRIGHT, AK 99703",Fairbanks North Star Borough,64.802185,-147.625422,42.4,Alaska,Fairbanks North Star Borough,"Alaska, Fairbanks North Star Borough",1100,1,8143,1259,1038,104,188,138,19,745,76,54479,109416500,318,1783,12,28,,15.46,12.75,1.28,2.31,1.69,0.23,4.2,0.93,15.05,99.33,0.67,1.29,33.72
423,"4 MI SW CY,  T72S R84E S17, COPPER RIVER, THORNE BAY, AK 99919",Thorne Bay,55.6594309,-132.5228318,50,Alaska,Prince of Wales-Hyder Census Area,"Alaska, Prince of Wales-Hyder Census Area",100,2,531,8,1,29,4,2,0,124,117,49050,13883600,169,67,177,98,201300,1.51,0.19,5.46,0.75,0.38,0,2.91,22.16,40.92,27.46,72.54,23.44,8.29
434,"1436 S APACHE POWDER RD, SAINT DAVID, AZ 85630",St. David,31.8804016,-110.2404566,39.09,Arizona,Cochise County,"Arizona, Cochise County",302,2,1033,113,6,24,5,1,1,102,35,56583,15889300,75,110,294,0,153300,10.94,0.58,2.32,0.48,0.1,0.1,0,3.26,15.66,27.23,72.77,0,14.52
479,"5005 E MCDOWELL RD, PHOENIX, AZ 85008",Phoenix,33.4625944,-111.972991,40.83,Arizona,Maricopa County,"Arizona, Maricopa County",111202,1,1964,1205,205,83,30,1,0,200,469,31505,30394700,183,676,53,0,94300,61.35,10.44,4.23,1.53,0.05,0,25.31,28.44,20.07,92.73,7.27,0,77.6
445,"OLD WICKENBURG RD, HASSAYAMPA, AZ 85343",Hassayampa,33.333455,-112.6854173,42.79,Arizona,Maricopa County,"Arizona, Maricopa County",50604,2,1236,537,8,10,0,0,8,92,187,51250,17875400,85,155,242,42,172500,43.45,0.65,0.81,0,0,0.65,31.1,17.31,17.63,39.04,60.96,12.17,45.56
513,"WILLIAMS AFB, CHANDLER, AZ 85224",Chandler,33.3107603,-111.681736,37.93,Arizona,Maricopa County,"Arizona, Maricopa County",522800,1,1685,195,110,84,60,5,1,165,255,34125,19220700,216,474,0,0,,11.57,6.53,4.99,3.56,0.3,0.06,5.26,14.69,31.3,100,0,0,27.01
491,"BETWEEN LWR BUCKEYE ROAD &amp; VAN BUREN, GOODYEAR, AZ 85338","Avondale, Goodyear",33.3602393,-112.4053046,45.91,Arizona,Maricopa County,"Arizona, Maricopa County",723308,3,3584,539,166,8,132,8,0,803,318,86404,110620200,229,237,980,0,238500,15.04,4.63,0.22,3.68,0.22,0,5.03,9.96,15.84,19.47,80.53,0,23.79
457,"MCDOWELL RD &amp; HAYDEN, SCOTTSDALE, AZ 85253",Scottsdale,33.5388471,-111.9641728,42.24,Arizona,Maricopa County,"Arizona, Maricopa County",105004,1,1285,50,17,0,57,0,2,796,59,90227,118736000,124,28,505,0,1000001,3.89,1.32,0,4.44,0,0.16,3.97,4.52,18.87,5.25,94.75,0,9.81
502,"NOGALES HWY, TUCSON, AZ 85734",Tucson,32.1181567,-110.9641468,57.8,Arizona,Pima County,"Arizona, Pima County",940900,1,1885,469,7,1159,6,2,0,62,555,30765,20929100,157,113,462,53,34700,24.88,0.37,61.49,0.32,0.11,0,27.42,26.75,21.45,19.65,80.35,6.87,87.17
468,"PARTS OF SECS 15,16&amp;22, TWP 13N, RNG 1E, Dewey-Humboldt, AZ 86327",Dewey-Humboldt,34.5840721,-112.0953297,52.69,Arizona,Yavapai County,"Arizona, Yavapai County",1900,3,2341,190,8,16,9,0,0,458,590,29444,62613000,223,247,830,22,160800,8.12,0.34,0.68,0.38,0,0,1.81,23.36,17.15,22.93,77.07,1.43,9.52
524,"AVENUE 3E, YUMA, AZ 85369",Yuma,32.5390918,-114.5800258,32.24,Arizona,Yuma County,"Arizona, Yuma County",11800,1,2717,1361,409,118,11,7,1,19,43,,,12,3,67,33,,50.09,15.05,4.34,0.4,0.26,0.04,24.66,1.4,14.63,4.29,95.71,60,70.18
535,"S. OF CITY @ CRICKETT RR JUNC., OMAHA, AR 72662",Omaha,36.4522883,-93.188513,28.95,Arkansas,Boone County,"Arkansas, Boone County",790100,1,2344,35,2,16,8,1,0,151,553,42390,40847800,187,216,724,28,117600,1.49,0.09,0.68,0.34,0.04,0,9.65,25.85,16.59,22.98,77.02,2.97,2.64
586,"ELM STREET AND HIGHWAY 41, TERRE HAUTE, IN 478071920",Terre Haute,34.2299999,-93.38,50,Arkansas,Clark County,"Arkansas, Clark County",953700,1,1278,19,7,14,11,0,2,80,302,32159,27251800,113,105,413,60,67800,1.49,0.55,1.1,0.86,0,0.16,19.52,22.76,17.91,20.27,79.73,9.58,4.16
602,"N OF HWY 368 APPROX. 1/4 MI N OF READER, READER, AR 71726",Reader,33.7535093,-93.1046585,50,Arkansas,Ouachita County,"Arkansas, Ouachita County",950200,2,1196,11,358,6,5,0,2,71,219,27899,16896700,218,81,447,115,70900,0.92,29.93,0.5,0.42,0,0.17,21.56,21.53,29.22,15.34,84.66,14.84,31.94
546,"49 PHILLIPS ROAD 311 (HIGHWAY 242 SOUTH), WEST HELENA, AR 72342",West Helena,34.550177,-90.6413226,,Arkansas,Phillips County,"Arkansas, Phillips County",480300,1,847,7,480,0,6,0,0,93,103,29667,13696900,41,81,250,26,74100,0.83,56.67,0,0.71,0,0,12.86,9.31,11.02,24.47,75.53,6.4,58.21
569,"HWY 71 SOUTH, MENA, AR 71953",Mena,34.5824972,-94.2364276,45.87,Arkansas,Polk County,"Arkansas, Polk County",950400,2,1167,54,9,12,19,0,0,160,113,29830,21536800,83,150,374,49,88400,4.63,0.77,1.03,1.63,0,0,12.44,10.16,13.67,28.63,71.37,8.24,8.06
624,"MARSHALL RD, JACKSONVILLE, AR 72076",Jacksonville,34.8934499,-92.1235929,65.46,Arkansas,Pulaski County,"Arkansas, Pulaski County",3500,3,1196,107,110,5,16,1,3,72,0,27348,3716200,55,205,17,0,,8.95,9.2,0.42,1.34,0.08,0.25,0,0,19.86,92.34,7.66,0,20.24
613,"SOUTHFIELD RD. APPROX. 1/2 MI S OF CITY, EL DORADO, AR 71730",El Dorado,33.20763,-92.6662674,50.03,Arkansas,Union County,"Arkansas, Union County",950800,1,877,60,475,4,5,0,0,170,158,33500,18070500,128,259,162,24,81900,6.84,54.16,0.46,0.57,0,0,14.17,18.06,23.32,61.52,38.48,3.82,62.03
557,"MACMILLAN ROAD OFF ARKANSAS HIGHWAY 335, NORPHLET, AR 71759",Norphlet,33.3156547,-92.6620545,50,Arkansas,Union County,"Arkansas, Union County",950200,3,687,22,30,1,0,0,0,142,130,40441,21395000,29,49,199,19,106400,3.2,4.37,0.15,0,0,0,8.35,13.33,10.47,19.76,80.24,4.74,7.72
580,"1/2 MI E ON HIGHWAY 10, OLA/BIRTA, AR 72853","Birta, Ola",35.0303133,-93.1412663,30.77,Arkansas,Yell County,"Arkansas, Yell County",952500,4,1201,174,2,9,7,0,0,42,201,40588,18119000,85,142,296,66,107200,14.49,0.17,0.75,0.58,0,0,20.92,20.76,16.25,32.42,67.58,14.41,15.99
591,"HIGHWAY 28, PLAINVIEW, AR 72857",Plainview,34.9893032,-93.2972959,41.93,Arkansas,Yell County,"Arkansas, Yell County",952600,3,1017,18,0,11,5,0,0,37,163,35903,15834200,206,123,326,93,73100,1.77,0,1.08,0.49,0,0,35.78,13.2,31.45,27.39,72.61,13.34,3.34
691,"1414 THIRD STREET, OAKLAND, CA 94607",Oakland,37.802366,-122.2951789,50,California,Alameda County,"California, Alameda County",402200,3,666,338,122,1,73,1,0,120,110,75865,16990500,41,121,96,0,368900,50.75,18.32,0.15,10.96,0.15,0,23.12,19.57,15.89,55.76,44.24,0,80.33
668,"W END CITY OF ALAMEDA, ALAMEDA, CA 94501",Alameda,37.7724287,-122.2810806,50,California,Alameda County,"California, Alameda County",427700,2,1892,229,138,8,526,6,9,669,342,61597,79694000,79,698,221,0,608800,12.1,7.29,0.42,27.8,0.32,0.48,8.94,14.43,7.92,75.95,24.05,0,48.41
1146,"7000 EAST AVE, LIVERMORE, CA 94550",Livermore,37.680332,-121.705398,42.24,California,Alameda County,"California, Alameda County",451101,4,2,0,0,0,0,0,0,0,0,,,0,0,1,0,,0,0,0,0,0,0,,,0,0,100,,0
1168,"LEVIATHAN MINE, MARKLEEVILLE, CA 96120",Markleeville,38.7327191,-119.6489588,50,California,Alpine County,"California, Alpine County",10000,1,483,21,0,12,4,0,0,102,172,56818,12442900,681,79,157,56,296100,4.35,0,2.48,0.83,0,0,8.84,34.96,74.26,33.47,66.53,5.85,7.66
713,"ARGONAUT LANE, JACKSON, CA 95642",Jackson,38.3596029,-120.7893343,58.31,California,Amador County,"California, Amador County",304,1,1676,192,2,42,7,2,0,157,249,51326,37788100,82,191,484,0,256300,11.46,0.12,2.51,0.42,0.12,0,13.16,13.44,10.83,28.3,71.7,0,14.63
1112,"BAGGETT-MARYSVILLE RD, OROVILLE, CA 95965",Oroville,39.474848,-121.557282,33.73,California,Butte County,"California, Butte County",3002,1,722,84,26,36,24,1,0,8,177,33015,11965800,22,187,91,0,93600,11.63,3.6,4.99,3.32,0.14,0,20.55,15.99,7.33,67.27,32.73,0,23.68
325,"8TH &amp; WRIGHT, RICHMOND, CA 94804",Richmond,37.9158152,-122.3390936,38.49,California,Contra Costa County,"California, Contra Costa County",380000,1,3045,329,430,8,720,9,18,1749,264,80958,180061700,144,722,975,48,348300,10.8,14.12,0.26,23.65,0.3,0.59,2.17,8.37,7.82,42.55,57.45,2.35,49.72
824,"PORT CHICAGO HWY, CONCORD, CA 94520",Concord,38.0088006,-122.0225687,50,California,Contra Costa County,"California, Contra Costa County",355200,1,1356,297,242,3,320,12,5,191,9,62188,22629900,214,425,72,43,537500,21.9,17.85,0.22,23.6,0.88,0.37,1.87,1.43,30.1,85.51,14.49,6.54,64.82
48,"3265 S MAPLE AVE, MALAGA, CA 93725",Malaga,36.6873923,-119.7464118,43.27,California,Fresno County,"California, Fresno County",1500,1,539,300,7,6,22,0,1,28,208,16719,8125800,25,74,120,14,57500,55.66,1.3,1.11,4.08,0,0.19,40.69,40.08,11.42,38.14,61.86,5.24,62.34
935,"SW COR OF JENSEN &amp; W AVE, FRESNO, CA 93706",Fresno,36.7067107,-119.8268933,35.57,California,Fresno County,"California, Fresno County",800,1,964,645,60,6,201,0,3,16,322,26759,7416300,34,141,77,0,122900,66.91,6.22,0.62,20.85,0,0.31,49.58,34.11,13.49,64.68,35.32,0,94.91
990,"7140 N HARRISON, FRESNO, CA 93650",Fresno,36.8422612,-119.8104233,51.13,California,Fresno County,"California, Fresno County",4409,1,1409,600,43,9,75,2,6,191,286,51736,38425500,17,173,272,0,234400,42.58,3.05,0.64,5.32,0.14,0.43,6.91,23.37,3.68,38.88,61.12,0,52.16
181,"1735 DOCKERY AVE &amp; ADJOINING, SELMA, CA 93662",Selma,36.5564458,-119.6022942,48.83,California,Fresno County,"California, Fresno County",7100,2,732,658,0,3,5,0,0,37,165,26375,8789900,9,96,86,0,90100,89.89,0,0.41,0.68,0,0,47.77,20.47,4.71,52.75,47.25,0,90.98
724,"LOS GATOS CREEK RD NW OF FRESNO, COALINGA, CA 93210",Fresno County,36.2338045,-120.5546739,45.55,California,Fresno County,"California, Fresno County",7902,1,1293,640,23,10,71,0,1,309,517,97115,46050000,73,186,259,0,151100,49.5,1.78,0.77,5.49,0,0.08,37.13,11.01,14.09,41.8,58.2,0,57.62
768,"600 S DERBY RD, ARVIN, CA 93203",Arvin,35.202858,-118.822817,53.36,California,Kern County,"California, Kern County",6304,1,1590,1480,6,2,4,0,1,3,876,31567,15492000,18,208,166,0,73400,93.08,0.38,0.13,0.25,0,0.06,71.91,43.65,4.59,55.61,44.39,0,93.9
879,"AFFTC EDWARDS AFB, EDWARDS AFB, CA 93524",Kern County,34.912119,-117.921526,33.62,California,Kern County,"California, Kern County",5700,1,2226,383,167,16,93,7,5,386,2,63529,40820300,231,617,8,0,,17.21,7.5,0.72,4.18,0.31,0.22,1.74,0.08,26.99,98.72,1.28,0,30.14
248,"SULPHUR BANK ROAD, CLEARLAKE OAKS, CA 95422",Clear Lake,38.9944987,-122.6738454,44.42,California,Lake County,"California, Lake County",701,2,2361,345,66,70,25,8,7,102,554,22951,55547900,311,423,556,0,178100,14.61,2.8,2.96,1.06,0.34,0.3,16.27,23.45,24.11,43.21,56.79,0,22.07
1290,"20201 S NORMANDIE AVE, TORRANCE, CA 90502",Torrance,33.84856,-118.300984,32.1,California,Los Angeles County,"California, Los Angeles County",292000,2,1518,1048,183,1,177,10,4,84,632,31118,15402800,65,371,78,31,532600,69.04,12.06,0.07,11.66,0.66,0.26,34.41,45.21,12.65,82.63,17.37,6.78,93.75
126,"POLLOCK WELLFIELD, LOS ANGELES, CA 90086",Los Angeles,34.06,-118.24,35.57,California,Los Angeles County,"California, Los Angeles County",207102,1,2553,605,88,7,1774,0,1,111,745,12647,21885500,42,927,21,0,,23.7,3.45,0.27,69.49,0,0.04,75.03,32.46,4.24,97.78,2.22,0,96.95
103,"NORTH HOLLYWOOD WELLFIELD AREA, NORTH HOLLYWOOD, CA 91601",Los Angeles,34.1671344,-118.3790801,42.24,California,Los Angeles County,"California, Los Angeles County",125200,2,1084,235,31,3,80,3,2,505,497,53816,48717300,41,292,228,0,616400,21.68,2.86,0.28,7.38,0.28,0.18,6.13,32.13,7.31,56.15,43.85,0,32.66
214,"5211 SOUTHERN AVENUE, SOUTH GATE, CA 90280",South Gate,33.9467464,-118.1778271,50,California,Los Angeles County,"California, Los Angeles County",536104,1,1115,952,69,3,14,2,0,59,299,28388,11648000,43,243,67,0,381800,85.38,6.19,0.27,1.26,0.18,0,32.55,32.01,12.18,78.39,21.61,0,93.28
835,"9316 ATLANTIC AVE, SOUTH GATE, CA 90280",South Gate,33.9471452,-118.1801512,50,California,Los Angeles County,"California, Los Angeles County",536104,1,1115,952,69,3,14,2,0,59,299,28388,11648000,43,243,67,0,381800,85.38,6.19,0.27,1.26,0.18,0,32.55,32.01,12.18,78.39,21.61,0,93.28
1079,"9301 RAYO AVE AND 5030 FIRESTONE BLVD, SOUTH GATE, CA 90280",South Gate,33.9504911,-118.1757944,45.76,California,Los Angeles County,"California, Los Angeles County",536104,1,1115,952,69,3,14,2,0,59,299,28388,11648000,43,243,67,0,381800,85.38,6.19,0.27,1.26,0.18,0,32.55,32.01,12.18,78.39,21.61,0,93.28
37,"5050 SLAUSON BOULEVARD, MAYWOOD, CA 90270",Maywood,33.9855919,-118.172289,45.23,California,Los Angeles County,"California, Los Angeles County",533703,2,2557,2521,1,4,8,0,2,68,716,35150,27811500,22,407,187,0,288500,98.59,0.04,0.16,0.31,0,0.08,54.82,31.43,3.57,68.52,31.48,0,99.18
137,"PECK RD &amp; REAL, EL MONTE, CA 91733",El Monte,34.0772285,-118.0213098,42.24,California,Los Angeles County,"California, Los Angeles County",432700,1,2776,2321,7,3,372,1,0,145,814,39035,33191100,21,385,256,0,333800,83.61,0.25,0.11,13.4,0.04,0,37.08,29.98,3.17,60.06,39.94,0,97.41
148,"SUNSET &amp; SAN BERNARDINO FREEWAY, BALDWIN PARK, CA 91706",Baldwin Park Area,34.0852868,-117.9608978,42.24,California,Los Angeles County,"California, Los Angeles County",405202,1,1547,1295,18,0,170,1,0,125,395,46319,19344600,9,261,105,0,325400,83.71,1.16,0,10.99,0.06,0,39.03,29.28,2.4,71.31,28.69,0,95.92
170,"STIMSON AVE &amp; OLD VALLEY BLVD, LA PUENTE, CA 91744",La Puente,34.0274622,-117.9307584,28.9,California,Los Angeles County,"California, Los Angeles County",407802,1,2130,1715,35,3,160,1,5,321,518,61181,30821900,7,84,366,4,326500,80.52,1.64,0.14,7.51,0.05,0.23,32.4,27.34,1.53,18.67,81.33,0.95,90.09
115,"CRYSTAL SPRINGS WELLFIELD AREA, GLENDALE, CA 91209","Glendale, Los Angeles",34.1466245,-118.2519928,42.24,California,Los Angeles County,"California, Los Angeles County",302002,1,799,149,55,7,104,2,1,274,255,40000,17339700,94,427,42,0,195200,18.65,6.88,0.88,13.02,0.25,0.13,12.38,26.76,16.7,91.04,8.96,0,39.81
868,"DEL AMO BLVD AND VERMONT AVE, LOS ANGELES, CA 90006",Los Angeles,33.8462527,-118.2904104,47.12,California,Los Angeles County,"California, Los Angeles County",543502,1,1512,999,51,4,239,4,23,332,325,71169,44382200,37,213,244,28,287500,66.07,3.37,0.26,15.81,0.26,1.52,33.33,25.57,7.49,46.61,53.39,5.25,87.29
4,"12504 AND 12512 E. WHITTIER BOULEVARD, WHITTIER, CA 90602",Whittier,33.9694468,-118.0434426,30.94,California,Los Angeles County,"California, Los Angeles County",502100,2,2361,1931,30,10,40,1,2,176,608,39925,38797600,27,447,276,28,312300,81.79,1.27,0.42,1.69,0.04,0.08,31.43,22.99,3.6,61.83,38.17,3.52,85.29
348,"12731 E LOS NIETOS RD, SANTA FE SPRINGS, CA 90670",Santa Fe Springs,33.9486457,-118.0574086,34.6,California,Los Angeles County,"California, Los Angeles County",502902,1,1586,1299,14,1,65,0,0,163,258,63269,23566600,9,115,268,0,338800,81.9,0.88,0.06,4.1,0,0,26.05,18.25,2.3,30.03,69.97,0,86.94
15,"900 N POTRERO GRANDE DR, MONTEREY PARK, CA 91754",Monterey Park,34.0328348,-118.1133754,57.22,California,Los Angeles County,"California, Los Angeles County",482800,1,937,348,0,0,449,1,3,238,150,74886,29404800,13,39,277,0,454800,37.14,0,0,47.92,0.11,0.32,20.65,13.98,3.95,12.34,87.66,0,85.49
159,"MAIN ST &amp; GAFIELD AVE, ALHAMBRA, CA 91801",Alhambra,34.0837958,-118.1181199,28.9,California,Los Angeles County,"California, Los Angeles County",481603,2,1138,259,2,0,789,0,3,358,154,92115,33545800,9,92,248,0,578800,22.76,0.18,0,69.33,0,0.26,22.67,12.75,2.58,27.06,72.94,0,92.53
1090,"4800 OAK GROVE DR, PASADENA, CA 91109",Pasadena,34.1986494,-118.174585,50,California,Los Angeles County,"California, Los Angeles County",460501,3,2684,150,19,0,713,3,5,1401,102,172333,181716400,30,80,859,0,1000001,5.59,0.71,0,26.56,0.11,0.19,2.41,3.61,3.1,8.52,91.48,0,33.16
813,"PLANT RD &amp; TAYLOR DR, UKIAH, CA 95482",Ukiah,39.1501709,-123.2077831,44.73,California,Mendocino County,"California, Mendocino County",11600,1,1256,296,18,27,24,1,1,184,260,25192,25311500,56,380,208,0,168200,23.57,1.43,2.15,1.91,0.08,0.08,24.68,20.14,8.7,64.63,35.37,0,29.22
802,"CASTLE AFB, MERCED, CA 95342",Merced,37.3807723,-120.5597839,37.93,California,Merced County,"California, Merced County",503,1,3292,1317,492,68,150,25,4,190,465,45363,45681000,76,240,351,0,285900,40.01,14.95,2.07,4.56,0.76,0.12,35.45,13.28,11.39,40.61,59.39,0,62.47
924,"FORMER ARMY BASE FORT ORD, MARINA, CA 93933",Marina,36.6678267,-121.807861,42.24,California,Monterey County,"California, Monterey County",14102,2,156,39,32,0,6,3,0,28,64,,,15,26,4,0,,25,20.51,0,3.85,1.92,0,44.57,51.61,33.33,86.67,13.33,0,51.28
846,"350 CRAZY HORSE CANYON ROAD, SALINAS, CA 93907",Salinas,36.80657,-121.61979,37.93,California,Monterey County,"California, Monterey County",10501,2,2665,803,36,17,104,13,1,424,398,97194,124474700,51,159,743,4,469100,30.13,1.35,0.64,3.9,0.49,0.04,26.57,12.49,5.35,17.63,82.37,0.37,36.55
1135,"14501 LAVA CAP MINE ROAD, NEVADA CITY, CA 95959",Nevada City,39.225251,-120.97078,33.66,California,Nevada County,"California, Nevada County",701,4,882,71,4,10,9,2,1,295,192,77250,37723400,31,45,301,16,588800,8.05,0.45,1.13,1.02,0.23,0.11,1.32,17.6,8.22,13.01,86.99,3.89,10.99
1223,"ROSECRANS &amp; SUNNY RIDGE, FULLERTON, CA 92833",Fullerton,33.8749591,-117.9659037,41.77,California,Orange County,"California, Orange County",11000,1,743,280,55,3,97,4,1,69,259,21955,12163000,48,341,47,16,,37.69,7.4,0.4,13.06,0.54,0.13,16.77,42.05,11.01,87.89,12.11,3.77,59.22
890,"EL TORO MARINE CORPS AIR STA, EL TORO, CA 92709",El Toro,33.7065761,-117.9427927,37.43,California,Orange County,"California, Orange County",99229,2,2151,228,15,2,621,11,0,654,59,108726,76923100,12,99,594,17,604600,10.6,0.7,0.09,28.87,0.51,0,2.28,2.75,1.7,14.29,85.71,2.43,40.77
