id,address,city,latitude,longitude,site_score,state_name,county_name,tract,block_group,tot_population_cen_2010,hispanic_cen_2010,nh_blk_alone_cen_2010,nh_aian_alone_cen_2010,nh_asian_alone_cen_2010,nh_nhopi_alone_cen_2010,nh_sor_alone_cen_2010,college_acs_09_13,no_health_ins_acs_09_13,med_hhd_inc_bg_acs_09_13,aggregate_hh_inc_acs_09_13,tot_vacant_units_cen_2010,renter_occp_hu_cen_2010,owner_occp_hu_cen_2010,no_plumb_acs_09_13,med_house_value_bg_acs_09_13,pct_hispanic_cen_2010,pct_nh_blk_alone_cen_2010,pct_nh_aian_alone_cen_2010,pct_nh_asian_alone_cen_2010,pct_nh_nhopi_alone_cen_2010,pct_nh_sor_alone_cen_2010,pct_not_hs_grad_acs_09_13,pct_no_health_ins_acs_09_13,pct_vacant_units_cen_2010,pct_renter_occp_hu_cen_2010,pct_owner_occp_hu_cen_2010,pct_no_plumb_acs_09_13,pct_poc
23,"TROOPER RD, WORCESTER, PA 19490",Worcester,40.1794834,-75.3509981,28.9,Pennsylvania,Montgomery County,206801,1,3943.0,70.0,134.0,0.0,605.0,0.0,8.0,1895.0,234.0,127778.0,251547700.0,47.0,111.0,1232.0,0.0,425300.0,1.78,3.4,0.0,15.34,0.0,0.2,1.27,5.51,3.38,8.27,91.73,0.0,20.72
24,"1 SPRING AVE, HATFIELD, PA 19440",Hatfield,40.2504561,-75.281794,35.57,Pennsylvania,Montgomery County,200901,1,1714.0,84.0,114.0,4.0,624.0,0.0,0.0,293.0,266.0,53182.0,37176300.0,30.0,264.0,308.0,0.0,178400.0,4.9,6.65,0.23,36.41,0.0,0.0,14.33,18.38,4.98,46.15,53.85,0.0,48.19
25,"MAPLE DR, MONTGOMERY TOWNSHIP, PA 18915",Montgomery Township,40.2649446,-75.2503589,35.57,Pennsylvania,Montgomery County,200603,2,1777.0,19.0,118.0,0.0,146.0,0.0,2.0,653.0,61.0,108640.0,74821300.0,11.0,37.0,555.0,0.0,376100.0,1.07,6.64,0.0,8.22,0.0,0.11,2.24,3.52,1.82,6.25,93.75,0.0,16.04
26,"67 E TELEGRAPH RD, FILLMORE, CA 93015",Fillmore,34.3991147,-118.9020044,46.01,California,Ventura County,302,1,1472.0,824.0,3.0,5.0,27.0,1.0,0.0,76.0,126.0,31396.0,28161500.0,80.0,219.0,394.0,20.0,67100.0,55.98,0.2,0.34,1.83,0.07,0.0,28.69,12.22,11.54,35.73,64.27,3.33,58.42
27,"W 3RD ST, LANSDALE, PA 19446",Lansdale,40.2473305,-75.2888959,35.57,Pennsylvania,Montgomery County,200908,2,884.0,56.0,53.0,5.0,66.0,0.0,0.0,213.0,80.0,55813.0,30172500.0,35.0,187.0,177.0,0.0,198400.0,6.33,6.0,0.5700000000000001,7.47,0.0,0.0,6.5600000000000005,7.53,8.77,51.37,48.63,0.0,20.37
28,"WISSAHICKON AVE, NORTH WALES, PA 19454",North Wales,40.2209906,-75.2813183,35.57,Pennsylvania,Montgomery County,201003,3,2705.0,90.0,161.0,3.0,645.0,4.0,0.0,992.0,75.0,75250.0,94810200.0,94.0,648.0,691.0,0.0,205100.0,3.33,5.95,0.11,23.84,0.15,0.0,6.62,2.76,6.5600000000000005,48.39,51.61,0.0,33.38
29,"PARKLAND TERRACE RD &amp; LAPP RD, SOUTH WHITEHALL TOWNSHIP, PA 18104",South Whitehall Township,40.6108861,-75.565955,42.31,Pennsylvania,Lehigh County,6002,3,2286.0,94.0,66.0,0.0,123.0,6.0,1.0,711.0,53.0,91583.0,121550300.0,41.0,148.0,726.0,0.0,291100.0,4.11,2.89,0.0,5.38,0.26,0.04,8.24,2.71,4.48,16.93,83.07,0.0,12.679999999999998
32,"RD# 1 SOUTH RD, SEVEN VALLEYS, PA 17360",Seven Valleys,39.8556561,-76.7685823,33.93,Pennsylvania,York County,21712,5,758.0,10.0,7.0,6.0,2.0,0.0,0.0,43.0,149.0,53000.0,14786000.0,20.0,59.0,221.0,17.0,145300.0,1.32,0.92,0.79,0.26,0.0,0.0,24.89,21.72,6.67,21.07,78.93,6.54,3.29
33,"OLD WILMINGTON ROAD, SADSBURYVILLE, PA 19320",Sadsburyville,39.9962584,-75.9019032,50.0,Pennsylvania,Chester County,305101,1,1999.0,45.0,47.0,2.0,12.0,1.0,1.0,285.0,307.0,63500.0,52688800.0,17.0,81.0,663.0,0.0,231500.0,2.25,2.35,0.1,0.6000000000000001,0.05,0.05,9.95,16.59,2.23,10.89,89.11,0.0,5.399999999999999
34,"0.5 MILES E OF TOWN, GROVE CITY, PA 16127",Grove City,41.1609283,-80.0865136,54.6,Pennsylvania,Mercer County,32900,1,796.0,5.0,24.0,1.0,13.0,0.0,0.0,109.0,68.0,31944.0,17098700.0,58.0,227.0,180.0,0.0,66700.0,0.63,3.02,0.13,1.63,0.0,0.0,9.83,8.49,12.47,55.77,44.23,0.0,5.41
35,"211 FRANKLIN ST, PALMERTON, PA 18071",Palmerton,40.80216,-75.612931,42.93,Pennsylvania,Carbon County,20900,2,1304.0,43.0,4.0,2.0,8.0,0.0,1.0,133.0,222.0,45278.0,23963000.0,24.0,147.0,369.0,0.0,119000.0,3.3,0.31,0.15,0.61,0.0,0.08,15.04,20.42,4.44,28.49,71.51,0.0,4.45
36,"RR SERVICE SHOP, PAOLI, PA 19301",Paoli,40.0419021,-75.4876445,32.18,Pennsylvania,Chester County,300103,2,755.0,18.0,46.0,0.0,85.0,0.0,5.0,337.0,121.0,83200.0,33625100.0,31.0,160.0,206.0,0.0,338700.0,2.38,6.09,0.0,11.26,0.0,0.66,5.36,18.73,7.8100000000000005,43.72,56.28,0.0,20.389999999999997
37,"5050 SLAUSON BOULEVARD, MAYWOOD, CA 90270",Maywood,33.9855919,-118.172289,45.23,California,Los Angeles County,533703,2,2557.0,2521.0,1.0,4.0,8.0,0.0,2.0,68.0,716.0,35150.0,27811500.0,22.0,407.0,187.0,0.0,288500.0,98.59,0.04,0.16,0.31,0.0,0.08,54.82,31.43,3.5700000000000003,68.52,31.48,0.0,99.18
38,"246 GRAND STREET, HAMBURG, PA 19526",Hamburg,40.5501502,-75.983981,37.86,Pennsylvania,Berks County,13800,3,1406.0,74.0,8.0,4.0,7.0,0.0,0.0,74.0,150.0,55147.0,41936700.0,47.0,289.0,315.0,0.0,96600.0,5.26,0.5700000000000001,0.28,0.5,0.0,0.0,21.73,10.51,7.22,47.85,52.15,0.0,6.61
39,"220 JACKSONVILLE RD, HATBORO, PA 19040",Hatboro,40.179676,-75.098739,53.42,Pennsylvania,Montgomery County,200402,1,937.0,29.0,26.0,1.0,14.0,0.0,0.0,275.0,29.0,98295.0,32028700.0,10.0,52.0,287.0,0.0,256000.0,3.09,2.77,0.11,1.49,0.0,0.0,6.74,2.8200000000000003,2.87,15.34,84.66,0.0,7.46
40,"RTE 724 &amp; WELLS RD, E COVENTRY TWP, PA 19457",East Conventry Township,40.2565388,-75.7706225,32.06,Pennsylvania,Berks County,11902,1,984.0,12.0,8.0,0.0,5.0,0.0,0.0,100.0,28.0,75000.0,26395400.0,12.0,37.0,341.0,0.0,179400.0,1.22,0.81,0.0,0.51,0.0,0.0,9.23,2.9,3.08,9.79,90.21,0.0,2.54
41,"SOUTHEAST SIDE OF ROUTE 611, NOCKAMIXON TOWNSHIP, PA 18972",Nockamixon Township,40.4941369,-75.270088,31.31,Pennsylvania,Bucks County,103300,1,1407.0,18.0,18.0,0.0,10.0,1.0,2.0,330.0,26.0,81827.0,47885600.0,28.0,64.0,491.0,0.0,346200.0,1.28,1.28,0.0,0.71,0.07,0.14,9.41,2.12,4.8,11.53,88.47,0.0,3.48
42,"6TH &amp; MINOR STREETS, EMMAUS BOROUGH, PA 18049",Emmaus Borough,40.5395421,-75.4968502,50.0,Pennsylvania,Lehigh County,6600,3,1450.0,36.0,5.0,0.0,8.0,0.0,0.0,445.0,80.0,75139.0,49441400.0,23.0,54.0,540.0,31.0,198500.0,2.48,0.34,0.0,0.55,0.0,0.0,3.71,5.16,3.73,9.09,90.91,4.47,3.37
43,"RYELAND ROAD, HEIDELBERG TWP, PA 19567",Heidelberg Township,40.3541031,-76.1722481,60.3,Pennsylvania,Berks County,10500,3,1724.0,39.0,53.0,0.0,10.0,2.0,1.0,295.0,188.0,71333.0,50293200.0,29.0,87.0,525.0,14.0,198400.0,2.26,3.07,0.0,0.58,0.12,0.06,10.57,10.82,4.52,14.22,85.78,2.25,6.09
44,"GRANT ST, SAEGERTOWN, PA 16433",Saegertown,41.7204022,-80.1451436,33.62,Pennsylvania,Crawford County,110700,2,557.0,3.0,12.0,0.0,1.0,0.0,0.0,79.0,53.0,35781.0,11226800.0,40.0,114.0,138.0,12.0,95000.0,0.54,2.15,0.0,0.18,0.0,0.0,2.22,9.91,13.7,45.24,54.76,3.93,2.87
46,"610 QUARRY ROAD, LOWER SALFORD TOWNSHIP, PA 19438",Lower Salford Township,40.2519393,-75.3824169,50.0,Pennsylvania,Montgomery County,207001,1,2196.0,76.0,128.0,1.0,96.0,1.0,6.0,745.0,15.0,102969.0,104044100.0,16.0,194.0,565.0,0.0,404100.0,3.46,5.83,0.05,4.37,0.05,0.27,1.22,0.72,2.06,25.56,74.44,0.0,14.030000000000001
47,"300 OHIO STREET, HERMITAGE, PA 16159",Hickory Township,41.1988294,-80.5075428,50.0,Pennsylvania,Mercer County,31100,2,782.0,11.0,157.0,1.0,0.0,0.0,0.0,41.0,71.0,18030.0,14064900.0,29.0,196.0,172.0,0.0,79800.0,1.4100000000000001,20.08,0.13,0.0,0.0,0.0,11.93,7.03,7.3,53.26,46.74,0.0,21.619999999999997
48,"3265 S MAPLE AVE, MALAGA, CA 93725",Malaga,36.6873923,-119.7464118,43.27,California,Fresno County,1500,1,539.0,300.0,7.0,6.0,22.0,0.0,1.0,28.0,208.0,16719.0,8125800.0,25.0,74.0,120.0,14.0,57500.0,55.66,1.3,1.11,4.08,0.0,0.19,40.69,40.08,11.42,38.14,61.86,5.24,62.33999999999999
49,"RD #6 ALONG RTE 394, STRABAN TOWNSHIP, PA 17325",Straban Township,39.8716058,-77.1735312,46.13,Pennsylvania,Adams County,30600,1,1455.0,115.0,58.0,0.0,26.0,0.0,0.0,98.0,113.0,53125.0,21073200.0,41.0,127.0,322.0,24.0,197400.0,7.9,3.99,0.0,1.79,0.0,0.0,21.89,9.43,8.37,28.29,71.71,5.29,13.68
50,"103 QUEENS DR, KING OF PRUSSIA, PA 19406",King of Prussia,40.0840787,-75.3548676,33.89,Pennsylvania,Montgomery County,205905,1,1049.0,29.0,100.0,1.0,139.0,0.0,1.0,506.0,84.0,65083.0,45929800.0,30.0,328.0,231.0,6.0,240200.0,2.76,9.53,0.1,13.25,0.0,0.1,4.25,8.22,5.09,58.68,41.32,0.99,25.740000000000002
51,"STRASBURG ROAD, NEWLIN TOWNSHIP, PA 19320",Newlin Township,39.94791,-75.7732455,30.71,Pennsylvania,Chester County,311200,1,1285.0,37.0,7.0,0.0,12.0,0.0,1.0,508.0,26.0,104205.0,80854500.0,25.0,63.0,416.0,16.0,546700.0,2.88,0.54,0.0,0.93,0.0,0.08,6.5,1.99,4.96,13.15,86.85,3.19,4.43
52,"11 HAP ARNOLD BOULEVARD, TOBYHANNA, PA 184665086",Tobyhanna,41.1870857,-75.4204872,37.93,Pennsylvania,Monroe County,300308,1,608.0,82.0,51.0,1.0,5.0,3.0,4.0,154.0,41.0,42232.0,16814300.0,55.0,89.0,149.0,0.0,131800.0,13.49,8.39,0.16,0.8200000000000001,0.49,0.66,7.95,4.44,18.77,37.39,62.61,0.0,24.01
53,"RTE 54, NESQUEHONING, PA 18240",Nesquehoning,40.8471308,-75.8811461,46.58,Pennsylvania,Carbon County,20300,2,625.0,4.0,5.0,1.0,1.0,0.0,0.0,145.0,14.0,52500.0,15033800.0,101.0,19.0,262.0,0.0,112800.0,0.64,0.8,0.16,0.16,0.0,0.0,7.23,2.5700000000000003,26.44,6.76,93.24,0.0,1.7599999999999998
54,"310 BROWNLIE RD., UPPER MERION TWP, PA 19406",Upper Merion Township,40.1105681,-75.3654604,63.1,Pennsylvania,Montgomery County,205809,3,1036.0,25.0,54.0,2.0,124.0,1.0,4.0,302.0,51.0,121094.0,50720100.0,13.0,15.0,349.0,0.0,312800.0,2.41,5.21,0.19,11.97,0.1,0.39,1.3,4.8,3.45,4.12,95.88,0.0,20.270000000000003
55,"FRONT STREET, COLUMBIA, PA 17512",Columbia,40.0250352,-76.4955774,50.78,Pennsylvania,Lancaster County,11200,1,1947.0,289.0,123.0,0.0,4.0,0.0,0.0,58.0,282.0,34020.0,29179000.0,121.0,443.0,309.0,8.0,90600.0,14.84,6.32,0.0,0.21,0.0,0.0,24.5,14.97,13.86,58.91,41.09,0.9500000000000001,21.37
56,"DEER RUN ROAD, WEST HAZLETON, PA 18201",West Hazleton,40.9713439,-76.0111304,43.16,Pennsylvania,Luzerne County,217900,1,611.0,107.0,8.0,3.0,4.0,0.0,0.0,92.0,81.0,31346.0,11903300.0,22.0,69.0,214.0,0.0,163100.0,17.51,1.31,0.49,0.65,0.0,0.0,12.8,12.25,7.21,24.38,75.62,0.0,19.959999999999997
92,"8350 FRUITRIDGE RD, SACRAMENTO, CA 95813",Sacramento,38.525168,-121.395831,44.46,California,Sacramento County,5205,1,796.0,128.0,60.0,7.0,61.0,4.0,7.0,130.0,101.0,21000.0,12638600.0,45.0,136.0,235.0,0.0,35200.0,16.08,7.54,0.88,7.66,0.5,0.88,18.66,11.41,10.82,36.66,63.34,0.0,33.54
93,"PERRY HILL RD, COVENTRY, RI 02816",Coventry,41.6800381,-71.7158024,0.0,Rhode Island,Kent County,20701,1,1920.0,23.0,11.0,3.0,10.0,0.0,7.0,399.0,99.0,80000.0,61967300.0,42.0,59.0,606.0,0.0,270200.0,1.2,0.5700000000000001,0.16,0.52,0.0,0.36,6.72,5.16,5.94,8.87,91.13,0.0,2.81
57,"WALSH ROAD, HONEYBROOK TOWNSHIP, PA 19344",Honeybrook Township,40.1161455,-75.9074097,33.64,Pennsylvania,Chester County,304900,1,2643.0,40.0,30.0,4.0,15.0,0.0,0.0,453.0,1078.0,68750.0,72629200.0,45.0,137.0,680.0,0.0,325700.0,1.51,1.1400000000000001,0.15,0.5700000000000001,0.0,0.0,15.84,39.1,5.22,16.77,83.23,0.0,3.37
58,"E PUMPING STA RD, RICHLAND TOWNSHIP, PA 18951",Richland Township,40.4639311,-75.3371847,70.71,Pennsylvania,Bucks County,106500,4,673.0,6.0,2.0,0.0,0.0,0.0,0.0,133.0,60.0,63833.0,21325200.0,22.0,46.0,224.0,41.0,226600.0,0.89,0.30000000000000004,0.0,0.0,0.0,0.0,13.44,10.2,7.53,17.04,82.96,12.77,1.19
59,"350 ELLIS ST, MOUNTAIN VIEW, CA 94043",Mountain View,37.3970434,-122.0540132,29.76,California,Santa Clara County,509108,4,1219.0,240.0,46.0,4.0,297.0,8.0,1.0,428.0,75.0,97024.0,46845300.0,15.0,230.0,308.0,0.0,586400.0,19.69,3.77,0.33,24.36,0.66,0.08,5.97,7.29,2.71,42.75,57.25,0.0,48.88999999999999
60,"469 SHARPSVILLE AVE, SHARON, PA 16146",Sharon,41.2426341,-80.5052932,41.33,Pennsylvania,Mercer County,33200,1,800.0,14.0,199.0,2.0,5.0,1.0,4.0,27.0,94.0,12396.0,9367400.0,67.0,540.0,10.0,8.0,0.0,1.75,24.88,0.25,0.63,0.13,0.5,26.4,11.45,10.86,98.18,1.82,1.13,28.139999999999997
61,"1200BIGLERSVILLE RD, RTE 34 N, GETTYSBURG, PA 17325",Cumberland Township,39.8401913,-77.2311351,36.37,Pennsylvania,Adams County,31401,1,2324.0,169.0,99.0,3.0,25.0,1.0,2.0,482.0,120.0,68182.0,62265800.0,50.0,214.0,669.0,28.0,225700.0,7.27,4.26,0.13,1.08,0.04,0.09,14.33,5.38,5.36,24.24,75.76,3.39,12.87
62,"19 N RAILROAD ST, JACKSON TOWNSHIP, PA 17067",Jackson Township,40.376286,-76.30388,46.25,Pennsylvania,Lebanon County,2900,2,1694.0,57.0,11.0,0.0,6.0,0.0,2.0,159.0,155.0,46307.0,35212400.0,73.0,285.0,383.0,18.0,136000.0,3.36,0.65,0.0,0.35000000000000003,0.0,0.12,12.52,8.82,9.85,42.66,57.34,2.42,4.4799999999999995
